wife_familyname_std,husband_familyname_std,year,marriage_number
Contarini,Medici,1679,1
Contarini,Bragadin,1428,1
Contarini,Minio,1589,1
Contarini,Zantani,1564,1
Contarini,Michiel,1464,1
Contarini,Sanudo,1542,1
Contarini,Dolfin,1553,1
Contarini,Zorzi,1767,1
Contarini,Vendramin,1549,1
Contarini,Zane,1404,1
Contarini,Soranzo,1414,2
Contarini,Giustinian,1443,1
Contarini,Dolfin,1443,1
Contarini,Basadonna,1485,1
Contarini,Balbi,1493,1
Contarini,Zorzi,1581,1
Contarini,Badoer,1597,1
Contarini,Foscari,1662,1
Contarini,Vendramin,1553,1
Contarini,Morosini,1509,1
Contarini,Zorzi,1451,1
Contarini,Donato,,1
Contarini,Marin,1796,1
Contarini,Contarini,1705,1
Contarini,Giustinian,1598,1
Contarini,Morosini,1642,1
Contarini,Badoer,1726,1
Contarini,Mocenigo,1463,1
Contarini,Bernardo,1463,1
Contarini,Barbaro,1464,1
Contarini,Contarini,1630,1
Contarini,Pasqualigo,1507,1
Contarini,Corner,1656,1
Contarini,Boldu,1574,1
Contarini,Pisani,1421,1
Contarini,Contarini,1625,1
Contarini,Pisani,1581,1
Contarini,Giustinian,1611,1
Contarini,Morosini,1539,1
Contarini,Basadonna,1502,1
Contarini,De Mezzo,1771,1
Contarini,Dolfin,1638,1
Contarini,Priuli,1545,1
Contarini,Vendramin,1452,1
Contarini,Contarini,1561,1
Contarini,Collalto,1553,1
Contarini,Michiel,1624,1
Contarini,Erizzo,1561,1
Contarini,Grimani,1593,1
Contarini,Zorzi,1609,1
Contarini,Rizzi,1752,1
Contarini,Magno,1533,1
Contarini,Boldu,1512,1
Contarini,Ruzzini,1422,1
Contarini,Priuli,1421,1
Contarini,Contarini,,1
Contarini,Giustinian,1401,2
Contarini,Dolfin,1420,1
Contarini,Valier,1571,1
Contarini,Corner,1434,1
Contarini,Corner,1553,1
Contarini,Morosini,1398,1
Contarini,Fonte,1664,1
Contarini,Gradenigo,1409,1
Contarini,Zorzi,1398,1
Contarini,Salamon,1545,1
Contarini,Michiel,1418,1
Contarini,Contarini,1602,1
Contarini,Contarini,1601,1
Contarini,Contarini,1441,1
Contarini,Morosini,1504,1
Contarini,Ponte,1595,1
Contarini,Pisani,1507,1
Contarini,Giovanelli,1782,1
Contarini,Grimani,1492,1
Contarini,Malipiero,1589,1
Contarini,Gabriel,1533,1
Contarini,Giustinian,1545,2
Contarini,Deddo,1587,1
Contarini,Da Lezze,1468,1
Contarini,Contarini,1476,1
Contarini,Morosini,1586,1
Contarini,Polani,1550,1
Contarini,Barbarigo,1479,1
Contarini,Badoer,1569,1
Contarini,Pisani,1652,1
Contarini,Contarini,1676,1
Contarini,Contarini,1727,1
Contarini,Premuda,1744,1
Contarini,Priuli,1603,1
Contarini,Contarini,1627,1
Contarini,Mocenigo,1633,1
Contarini,Barbarigo,1653,1
Contarini,Morosini,1675,1
Contarini,Querini,1686,1
Contarini,Contarini,1659,1
Contarini,Morosini,1450,1
Contarini,Zorzi,1453,1
Contarini,Grimani,1611,1
Contarini,Loredan,1557,1
Contarini,Da Molin,1701,1
Contarini,Valier,1711,2
Contarini,Barbarigo,1701,1
Contarini,Donato,1615,1
Contarini,Contarini,1418,1
Contarini,Bembo,1580,1
Contarini,Contarini,1471,1
Contarini,Soranzo,1634,1
Contarini,Mocenigo,1771,1
Contarini,Michiel,1581,1
Contarini,Contarini,1410,1
Contarini,Pasqualigo,1454,1
Contarini,Basadonna,1589,1
Contarini,Zorzi,1702,1
Contarini,Morosini,1675,1
Contarini,Malipiero,1536,1
Contarini,Vitturi,1670,1
Contarini,Giustinian,1407,1
Contarini,Bragadin,1404,1
Contarini,Surian,1516,1
Contarini,Loredan,1468,1
Contarini,Gradenigo,1398,1
Contarini,Priuli,1599,1
Contarini,Paruta,1407,1
Contarini,Grisoni,1508,1
Contarini,Contarini,1414,1
Contarini,Contarini,1426,1
Contarini,Dolfin,1498,1
Contarini,Bon,1528,1
Contarini,Morosini,1468,1
Contarini,Loredan,1469,1
Contarini,Donato,1658,1
Contarini,Morosini,1601,1
Contarini,Zane,1405,1
Contarini,Trevisan,1752,1
Contarini,Surian,1676,1
Contarini,Balbi,1680,2
Contarini,Lombardo,1533,1
Contarini,Corner,1405,1
Contenti,Maccarelli,,1
Contenti,Beregan,1700,1
Contenti,Gallo,1725,1
,Balbi,1599,1
Conti,Avogadro,1563,1
Conti,Redetti,1823,1
Conti,Michiel,1698,1
Conti,Donato,1661,1
Conti,Cocco,1491,1
Conti,Sanudo,1684,1
Conti,Mosto,1420,1
Conti,Soranzo,1489,1
,Pasqualigo,1719,1
,Soranzo,1745,1
Coppo,Ruzier,1434,1
Coppo,Venier,1439,1
Coppo,Corner,1444,1
Coppo,Malipiero,1649,1
Coppo,Manolesso,1516,1
Coppo,Salamon,1652,1
Coppo,Marcello,1501,1
Coppo,Querini,1438,1
Coppo,Venier,1440,1
Coppo,Dolfin,1473,1
Coppo,Balbi,1673,1
Coppo,Zeno,1705,1
Coppo,Cicogna,1459,1
,Gherardini,1707,1
,Contarini,1649,1
,Capello,1594,1
,Capello,1651,2
,Miani,1564,1
,Bembo,1516,1
Corner,Giustinian,1437,1
Corner,Dandolo,1453,1
Corner,Malipiero,1451,1
Corner,Zorzi,1510,1
Corner,Querini,,1
Corner,Bon,1540,1
Corner,Querini,,1
Corner,De Mezzo,,1
Corner,Grego,,1
Corner,Gradenigo,1558,1
Corner,Bon,1639,1
Corner,Calergi,1643,1
Corner,Zeno,,1
Corner,Vendramin,1771,1
Corner,Balbi,1809,1
Corner,Dandolo,1581,1
Corner,Bon,1560,1
Corner,Paruta,1601,1
Corner,Bembo,1610,1
Corner,Barbarigo,1668,1
Corner,Balbi,1503,1
Corner,Capello,1751,1
Corner,Corner,1423,1
Corner,Dolfin,1594,1
Corner,Foscarini,1787,1
Corner,Bragadin,1784,1
Corner,Bembo,1473,1
Corner,Zeno,1488,1
Corner,Badoer,1761,1
Corner,Valier,1461,1
Corner,Contarini,1743,1
Corner,Zorzi,1417,1
Corner,Catti,1726,1
Corner,Barbaro,1815,1
Corner,Zorzi,1736,1
Corner,Balbi,,1
Corner,Barozzi,1704,1
Corner,Tron,1721,1
Corner,Nani,1492,1
Corner,Arimondo,1400,1
Corner,Barbaro,1769,1
Corner,Contarini,1480,1
Corner,Priuli,1507,1
Corner,Malipiero,1510,2
Corner,Bembo,1421,1
Corner,Balbi,1749,1
Corner,Lando,1471,1
Corner,Gradenigo,,1
Corner,Morelli,1695,1
Corner,Balbi,1787,1
Corner,Contarini,1405,1
Corner,Giustinian,1447,1
Corner,Da Molin,1426,1
Corner,Corner,,1
Corner,Dolfin,1587,1
Corner,Salamon,,1
Corner,Foscari,1464,1
Corner,Calergi,1616,1
Corner,Contarini,1707,1
Corner,Soranzo,1496,1
Corner,Vendramin,1673,1
Corner,Contarini,1535,1
Corner,Morosini,1414,1
Corner,Bembo,1649,1
Corner,Zaguri,1731,1
Corner,Manolesso,1631,1
Corner,Sagredo,1676,1
Corner,Dolfin,1709,1
Corner,Loredan,1727,1
Corner,Contarini,1617,2
Corner,Magno,1632,1
Corner,Contarini,1781,1
Corner,Zancaruol,1519,1
Corner,De Mezzo,1616,1
Corner,Abramo,1440,1
Corner,Michiel,1536,1
Corner,Bragadin,1643,1
Corner,Giustinian,1785,1
Corner,Renier,1787,1
Corner,Contarini,1549,1
Corner,Pisani,,1
Corner,Gabriel,1613,1
Corner,Foscarini,1523,1
Corner,Badoer,1544,1
Corner,Bernardo,1638,1
Corner,Romieri,1773,1
Corner,Corner,1553,1
Corner,Valaresso,1705,1
Corner,Pesaro,1669,1
Corner,Morosini,1557,1
Corner,Contarini,1425,1
Corner,Corner,1537,1
Corner,Valmarana,1775,1
Corner,Morosini,1405,1
Corner,Zeno,1747,1
Corner,Dono,,1
Corner,Contarini,1655,1
Corner,Contarini,1428,1
Corner,Contarini,1448,1
Corner,Giustinian,1579,1
Corner,Marin,1789,1
Corner,Dolfin,1771,1
Corner,Grimani,1778,1
Corner,Contarini,1784,1
Corner,Morosini,1562,1
Corner,Gabriel,1616,1
Corner,Morosini,1637,1
Corner,Querini,1445,1
Corner,Venier,,1
Corner,Sagredo,1659,1
Corner,Cocco,1640,1
Corner,Briani,1652,2
Corner,Capello,1436,1
Corner,Venier,1598,1
Corner,Manolesso,,1
Corner,Gradenigo,,1
Corner,Muazzo,1606,1
Corner,Corner,1600,1
Corner,Corner,1556,1
Corner,Querini,,1
Corner,Dandolo,1522,1
Corner,De Mezzo,1572,1
Corner,Bon,1569,1
Corner,De Mezzo,1411,1
Corner,Contarini,1520,1
Corner,Morosini,1443,1
Corner,Canal,1517,1
Corner,Badoer,1452,1
Corner,Pesaro,1581,1
Corner,Cavalli,1538,1
Corner,Da Lezze,1736,1
Corner,Zorzi,1448,1
Corner,Loredan,1511,1
Corner,Contarini,1572,1
Corner,Manolesso,,1
Corner,Morosini,1532,1
Corner,Barbaro,1536,1
Corner,Contarini,1540,1
Corner,Corner,1545,1
Corner,Contarini,1570,1
Corner,Contarini,1580,2
Corner,Bragadin,1605,1
Corner,Priuli,1702,1
Corner,Arnaldi,1694,1
Corner,Balbi,1503,1
Corner,Emo,1599,1
Corner,Venier,1628,1
Corner,Balbi,1631,2
Corner,Balbi,,3
Corner,Vendramin,1473,1
Corner,Dolfin,1551,1
Corner,Priuli,1623,1
Corner,Michiel,1539,1
Corner,Contarini,1580,1
Corner,Corner,1667,1
Corner,Pasqualigo,1629,1
Corner,Balbi,1630,2
Corner,Magno,1503,1
Corner,Nave,1663,1
Corner,Morosini,1690,1
Corner,Magno,1696,2
Corner,Querini,,1
Corner,Venier,1453,1
Corner,Bollani,1479,1
Corner,Michiel,1413,1
Corner,Trevisan,1574,1
Corner,Muazzo,1609,1
Corner,Soranzo,1682,1
Corner,Barbaro,1667,1
Corner,Calergi,1667,2
Corner,Semitecolo,1661,1
Corner,Longo,1711,1
Corner,Morosini,1416,1
Corner,Balbi,1412,1
Corner,Contarini,1728,1
Corner,Morosini,1655,1
Corner,Michiel,1748,1
Corner,Arimondo,1594,1
Corner,Balbi,1650,1
Corner,Giustinian,1580,1
Corner,Loredan,1532,1
Corner,Foscari,1703,1
Corner,Zancaruol,,1
Corner,Badoer,1584,1
Corner,Muazzo,1597,1
Corner,Loredan,1542,2
Corner,Trevisan,1495,1
Corner,Foscarini,1616,1
Corner,Gabriel,1706,1
Corner,Manolesso,1663,1
Corner,Mocenigo,1564,1
Corner,Loredan,1692,1
Corner,Contarini,1529,1
Corner,Morosini,,1
Corner,Corner,1388,1
Corner,Querini,,1
Corner,Giustinian,1424,1
Corner,Pisani,1541,1
Corner,Pesaro,1595,1
Corner,Manolesso,1613,1
Corner,Querini,1621,1
Corner,Foscarini,1712,1
Corner,Priuli,1534,1
Corner,Contarini,1435,1
Corner,Giustinian,1566,1
Corner,De Mezzo,1638,1
Corner,Grimani,1782,1
Corner,Zeno,,1
Corner,Pizzamano,1737,1
Corner,Venier,,1
Corner,Grioni,1655,2
Corner,Sanudo,1566,1
Corner,Contarini,1634,1
Corner,Soranzo,1738,1
Corner,Querini,1415,1
Corner,Corner,1407,1
Corner,Dandolo,,1
Corner,Michiel,1572,2
Corner,Correr,1566,1
Corner,Querini,1467,1
Corner,Morosini,1542,1
Corner,Garzoni,1512,1
Corner,Canal,1522,1
Corner,Calergi,1606,1
Corner,Michiel,1425,1
Corner,Benzon,1676,1
Corner,Salamon,1567,1
Corner,Contarini,1421,1
Corner,Soranzo,1432,1
Corner,Trevisan,1581,1
Corner,Foscari,1528,1
Corner,Loredan,1538,1
Corner,Dandolo,1568,1
Corner,Dandolo,1559,1
Corner,Dandolo,,1
Corner,Zeno,1556,1
Corner,Zane,1439,1
Corner,Morosini,1469,1
Corner,Corner,1395,1
Corner,Pisani,1443,1
Corner,Corner,1545,1
Corner,Trevisan,1508,1
Corner,Boldu,1609,1
Corner,Capello,1563,1
Corner,Cavalli,1579,1
Corner,Loredan,1648,1
Corner,Contarini,1460,1
Corner,Calergi,1639,1
Corner,Grego,1653,2
Corner,Morosini,1573,1
Corner,Muazzo,,1
Corner,Miegano,,1
Corner,Dandolo,,1
Corner,Soranzo,1781,1
Corner,Bragadin,1547,1
Corner,Barbaro,1712,1
Corner,Bembo,1711,1
Corner,Loredan,1740,1
Corner,Cocco,1578,1
Corner,Priuli,1659,1
Corner,Contarini,1428,1
Corner,Gradenigo,,1
Corner,Da Molin,1432,1
Corner,Michiel,1577,1
Corner,Balbi,1561,1
Corner,Falier,1545,1
Corner,Balbi,1730,1
Corner,Contarini,1579,1
Corner,Donato,1700,1
Corner,Ponte,1618,1
Corner,Mocenigo,1787,1
Corner,Giustinian,1557,1
Corner,Bembo,1644,1
Corner,Valier,1538,1
Corner,Corner,1667,1
Corner,Bembo,1781,1
Corner,Falier,1599,1
Corner,Da Molin,1626,1
Corner,Corner,,1
Corner,Morosini,1458,1
Corner,Bragadin,1437,1
Corner,Barozzi,1621,1
Corner,Foscarini,1429,1
Corner,Contarini,1437,2
Corner,Duodo,1481,1
Corner,Contarini,1581,1
Corner,Falier,1433,1
Corner,Contarini,1572,1
Corner,Pisani,1480,1
Corner,Tiepolo,1655,1
Corner,Contarini,1505,1
Corner,Pisani,1540,1
Corner,Loredan,1703,1
Corner,Pisani,1725,1
Corner,Manzoni,1683,1
Corner,Soranzo,1567,1
Corner,Manolesso,,1
Corner,Corner,1578,1
Corner,Foscarini,1636,1
Corner,Renier,1792,1
Corner,Polani,,1
Corner,Venier,,1
Corner,Contarini,1580,1
Corner,Miani,1480,1
Corner,Pisani,1488,2
Corner,Zeno,1516,1
Corner,Venier,1636,1
Corner,Bon,1622,1
Corner,Morosini,1466,1
Corner,Barbarigo,,1
Corner,Contarini,1435,1
Corner,Venier,,1
Corner,Da Molin,1550,1
Corner,Corner,1604,1
Corner,Bon,1666,1
Corner,Corner,1810,1
Corner,Mocenigo,1439,1
Corner,Calergi,1636,1
Corner,Bragadin,1411,1
Corner,Bragadin,1488,1
Corner,Bragadin,1538,1
Corner,Grimani,,1
Corner,Querini,1587,1
Corner,Bon,1634,1
Corner,Grimani,1542,1
Corner,Michiel,1599,1
Corner,Zorzi,1417,1
Corner,Bollani,1485,1
Corner,Polani,,1
Corner,Marcello,1638,1
Corner,Zorzi,1774,1
Corner,Querini,1572,1
Corner,Michiel,1429,1
Corner,Manolesso,1791,1
Corner,Zorzi,1508,1
Corner,Contarini,1563,1
Corner,Loredan,1735,1
Corner,Morosini,1704,1
Corner,Pasqualigo,,1
Corner,Renier,1782,1
Corner,Bondumier,1445,1
Corner,Gradenigo,1750,1
Corner,Morosini,1446,1
Corner,Gradenigo,,1
Corner,Pizzamano,1532,1
Corner,Vendramin,1553,1
Corner,Manolesso,1617,1
Corner,Marcello,1621,1
Corner,Bembo,1632,1
Corner,Giustinian,1738,1
Corner,Dandolo,1643,1
Corner,Bollani,1422,1
Corner,Tagliapietra,1548,1
Corner,Mosto,1787,1
Corner,Malipiero,1464,1
Corner,Donato,1530,1
Corner,Zorzi,1590,1
Corner,Manolesso,1475,1
Corner,Cicogna,1498,2
Corner,Salamon,1567,1
Corner,Donato,1689,1
Corner,Balbi,1757,1
Corner,Capello,1639,1
Corner,Bragadin,1571,1
Corner,Zorzi,1555,1
Corner,Morosini,1608,1
Corner,Soranzo,1633,1
Corner,Corner,1641,1
Corner,Balbi,1643,1
Corner,Grimani,1574,1
Corner,Muazzo,1464,1
Corner,Zeno,,1
Corner,Barbarigo,,1
Corner,Giustinian,1792,1
Corner,Grimani,1643,1
Corner,Mocenigo,1739,1
Corner,Mocenigo,1704,1
Corner,Contarini,1665,1
Corner,Zeno,1622,1
Corner,Garzoni,1640,1
Corner,Memmo,1636,1
Corner,Barozzi,1560,1
Corner,Angaran,1688,1
Corner,Soranzo,1410,1
Corner,Minio,1717,1
Corner,Bon,1781,1
Corner,Mosto,1493,1
Corner,Gradenigo,1535,1
Corner,Mosto,1493,1
Corner,Corner,1453,1
Corner,Balbi,1436,1
Corner,Muazzo,,1
Corner,Zorzi,1795,1
Corner,Duodo,1768,1
Corner,Zeno,,1
Corner,Dolfin,1779,1
Corner,Michiel,1458,1
,Magno,1804,2
,Ghedini,,1
,Valier,1597,1
,Balbi,,1
,Bembo,1664,1
,Avogadro,,1
Correggio,Gritti,1668,1
Correggio,Dolce,,1
Correggio,Giustinian,1676,1
Correr,Soranzo,1536,1
Correr,Donato,1565,1
Correr,Deddo,1559,1
Correr,Falier,1573,1
Correr,Bragadin,1577,1
Correr,Bragadin,1547,1
Correr,Basadonna,1563,1
Correr,Querini,1645,1
Correr,Gradenigo,1562,1
Correr,Gritti,1601,1
Correr,Michiel,1545,1
Correr,Zorzi,1442,1
Correr,Contarini,1789,1
Correr,Grimani,1649,1
Correr,Vitturi,1585,1
Correr,Memmo,1532,1
Correr,Minotto,1468,1
Correr,Barbaro,1472,1
Correr,Venier,1617,1
Correr,Sagredo,1424,1
Correr,Bollani,1604,1
Correr,Corner,1754,1
Correr,Barbarigo,1550,1
Correr,Pisani,1711,1
Correr,Correr,1650,1
Correr,Correr,1676,2
Correr,Morelli,1773,1
Correr,Giustinian,1520,1
Correr,Giustinian,1571,1
Correr,Donato,1715,1
Correr,Gritti,1441,1
Correr,Canal,1568,1
Correr,Marcello,1639,1
Correr,Battagia,1733,1
Correr,Pisani,1639,1
Correr,Giustinian,1572,1
Correr,Bon,1626,1
Correr,Donato,1574,1
Correr,Contarini,1467,1
Correr,Morosini,1605,1
Correr,Morosini,1660,1
Correr,Querini,1728,1
Correr,Foscari,1727,1
Correr,Civran,1641,1
Correr,Soranzo,1610,1
Correr,Querini,1644,1
Correr,Capello,1634,1
Correr,Contarini,1448,1
Correr,Da Molin,1465,1
Correr,Priuli,1513,1
Correr,Da Lezze,1465,1
Correr,Valaresso,1615,1
Correr,Falier,1685,1
Correr,Gritti,1762,1
Correr,Da Molin,1710,1
Correr,Morosini,1726,1
,Donato,1630,1
,Tron,1654,2
,Santasoffia,1705,1
Cossazza,Zorzi,1615,1
Cossazza,Pisani,,1
Cossazza,Boldu,1610,1
Cossazza,Balbi,1633,2
Cossazza,Avogadro,1545,1
Cossazza,Boldu,1544,1
,Collalto,1664,2
Costantino,Balbi,1668,1
,Papafava,,1
Cottoni,Vendramin,1769,1
,Marcello,1496,1
,Bembo,1418,1
,Pisani,1519,1
,Marin,1578,1
,Venier,1566,1
,Pisani,1479,1
,Corner,1444,1
,Querini,1469,1
,Morosini,1469,1
,Priuli,1437,1
,Zeno,1453,1
,Moro,1498,1
,Badoer,1457,1
,Morosini,1435,1
,Cicogna,1634,1
,Querini,1708,1
Curti,Crotta,,1
Crotta,Giustinian,1702,1
Crotta,Badoer,1672,1
Crotta,Widman,1632,1
Crotta,Valaresso,1665,1
Crotta,Malipiero,1672,2
Crotta,Malipiero,1661,1
Crotta,Gritti,1670,1
Crotta,Falier,1671,1
Crotta,Ravagnin,1737,1
Crotta,Calbo,1739,1
Crotta,Dolfin,1663,1
Crotta,Manolesso,1666,1
Crotta,Contarini,1660,1
,Contarini,1769,1
,Querini,1651,1
Cicogna,Foscarini,,1
Curti,Renier,1767,1
,Contarini,1782,1
Contarini,Morosini,1496,1
Contarini,Valier,1502,2
,Sagredo,1538,1
,Balbi,1755,1
,Mora,1757,1
,Morosini,1775,1
,Contarini,1783,1
,Balbi,1759,1
,Bonlini,1775,2
,Badoer,1544,1
,Tagliapietra,1519,1
,Da Riva,1468,1
,Zorzi,1775,1
,Collalto,1575,1
,Balbi,,1
,Deddo,1450,1
Da Lezze,Moro,1507,1
Da Lezze,Zantani,1530,2
Da Lezze,Bembo,1603,1
Da Lezze,Priuli,1571,1
Da Lezze,Tron,1572,1
Da Lezze,Malipiero,1549,1
Da Lezze,Cocco,1401,1
Da Lezze,Mosto,1769,1
Da Lezze,Badoer,1566,1
Da Lezze,Venier,1770,1
Da Lezze,Michiel,1572,1
Da Lezze,Malipiero,1574,1
Da Lezze,Basadonna,1693,1
Da Lezze,Belegno,1446,1
Da Lezze,Zane,1410,1
Da Lezze,Grimani,1579,1
Da Lezze,Tagliapietra,1550,1
Da Lezze,Lippomano,1553,2
Da Lezze,Michiel,1759,1
Da Lezze,Marin,1476,1
Da Lezze,Pisani,1450,1
Da Lezze,Canal,1466,1
Da Lezze,Barbaro,1594,1
Da Lezze,Marcello,1507,1
Da Lezze,Grimani,1569,1
Da Lezze,Bon,1517,1
Da Lezze,Pizzamano,1529,2
Da Lezze,Manolesso,1523,1
Da Lezze,Pizzamano,1546,1
Da Lezze,Contarini,1623,1
Da Lezze,Contarini,1508,1
Da Lezze,Venier,1521,1
Da Lezze,Contarini,1436,1
Da Lezze,Malipiero,1497,2
Da Lezze,Bon,1772,1
Da Lezze,Priuli,1546,1
Da Lezze,Baseggio,1490,1
Da Lezze,Grimani,1578,1
Da Lezze,Lombardo,1504,1
Da Lezze,Deddo,1481,1
Da Lezze,Bragadin,1548,1
Da Lezze,Soranzo,1608,1
Da Lezze,Bragadin,1566,1
Da Lezze,Foscarini,1593,2
Da Lezze,Valaresso,1572,1
Da Lezze,Minotto,1555,1
Da Lezze,Minotto,1543,1
Da Lezze,Capello,1573,1
Da Lezze,Bragadin,1542,1
Da Lezze,Mosto,1749,1
Da Lezze,Barbarigo,1504,1
Da Lezze,Valier,1486,1
Da Lezze,Da Molin,1517,2
Da Lezze,Contarini,1567,1
Da Lezze,Pisani,1633,1
,Querini,1748,1
,Michiel,1443,1
,Venier,1469,1
,Tagliapietra,1457,1
,Dolfin,1459,1
,Corner,1755,1
,Zane,1417,1
,Corner,,1
,Zorzi,1553,1
Dalla Scala,Nadal,1771,1
,Michiel,1490,1
,Marcello,1448,1
,Manin,,1
,Bragadin,1610,1
,Foscarini,1774,1
,Pisani,,1
,Malipiero,1526,1
,Michiel,1480,1
,Baffo,1443,1
,Salamon,1461,1
,Tagliapietra,1462,1
,Marcello,1446,1
,Barbaro,1448,1
,Balbi,1512,1
Dalla Fornase,Querini,1462,1
Dalla Fornase,Contarini,1461,1
,Marcello,1443,1
,Marcello,1443,1
,Badoer,1505,1
,Zorzi,1563,1
,Surian,1520,1
,Foscari,1719,1
Dal Sol,Balbi,1556,1
Dal Sol,Cavalli,1499,1
,Zeno,1543,1
Damiano,Mora,,1
Damiano,Michiel,1662,2
Damiano,Moro,,1
Mosto,Trevisan,1464,1
Mosto,Malipiero,1569,1
Mosto,Corner,1794,1
Mosto,Cicogna,1611,1
Mosto,Da Molin,1655,1
Mosto,Zorzi,1783,1
Mosto,Loredan,1540,1
Mosto,Da Molin,1663,1
Mosto,Barbaro,1665,2
Mosto,Pisani,1797,1
Mosto,Benzon,1700,1
Mosto,Marcello,1537,1
Mosto,Morosini,,1
Mosto,Morosini,1813,1
Mosto,Contarini,1657,1
Mosto,Marin,1639,1
Mosto,Tagliapietra,1579,1
Mosto,Zeno,,1
Mosto,Da Mula,1536,1
Mosto,Donato,1550,2
Mosto,Barbo,1631,1
Mosto,Lippomano,1636,1
Mosto,Cicogna,1638,1
Mosto,Marcello,1580,1
Mosto,Giustinian,1448,1
Mosto,Da Riva,1476,1
Mosto,Badoer,1567,1
Mosto,Gritti,1571,1
Mosto,Zorzi,1578,1
Mosto,Lion,1634,1
Mosto,Celsi,1514,1
Mosto,Moro,1508,1
Mosto,Dandolo,1596,1
Mosto,Contarini,1589,1
Mosto,Michiel,1657,1
Mosto,Trevisan,1450,1
Mosto,Zorzi,1462,1
Mosto,Donato,1422,2
Mosto,Balbi,1674,1
Mosto,Mocenigo,1674,1
Mosto,Loredan,,2
Mosto,Soranzo,1582,1
Mosto,Barbaro,1796,1
Mosto,Mosto,1825,1
Mosto,Valaresso,1535,1
Mosto,Loredan,1522,1
Mosto,Orio,1766,1
Mosto,Zorzi,1508,1
Mosto,Priuli,1799,1
Mosto,Balbi,1776,1
Mosto,Bragadin,1802,1
Mosto,Contarini,1773,1
Mosto,Querini,1531,1
Mosto,Barbarigo,1565,1
Mosto,Foscarini,1529,1
Mosto,Zorzi,1574,1
Mosto,Tagliapietra,1548,1
Mosto,Badoer,1695,1
Mosto,Querini,1690,1
Mosto,Foscarini,1432,1
Mosto,Contarini,1608,1
Mosto,Moro,1402,1
Mosto,Collalto,1692,1
Mosto,Tagliapietra,1484,1
Mosto,Capello,1775,1
Mosto,Duodo,1596,1
Mosto,Sanudo,1734,1
Mosto,Corner,1780,1
Mosto,Papafava,1752,1
Mosto,Redetti,1824,1
Mosto,Garzoni,1541,1
Mosto,Corner,1558,1
Mosto,Magno,1467,1
Mosto,Zeno,1683,1
Mosto,Da Lezze,1447,1
Mosto,Cocco,1485,1
Mosto,Foscarini,1439,1
Mosto,Ponte,1559,1
Mosto,De Mezzo,1493,1
,Zane,1445,1
Da Mula,Barbaro,1446,1
Da Mula,Loredan,1462,1
Da Mula,Gradenigo,1610,1
Da Mula,Vendramin,1705,1
Da Mula,Tron,1500,1
Da Mula,Zorzi,1595,1
Da Mula,Donato,1553,1
Da Mula,Soranzo,1575,1
Da Mula,Michiel,1551,1
Da Mula,Pisani,1755,1
Da Mula,Erizzo,1653,1
Da Mula,Michiel,1618,1
Da Mula,Foscarini,1604,1
Da Mula,Balbi,1570,1
Da Mula,Barbaro,1557,1
Da Mula,Contarini,1690,1
Da Mula,Moro,1533,1
Da Mula,Foscarini,1588,1
Da Mula,Giustinian,1710,1
Da Mula,Giustinian,1506,1
Da Mula,Zusto,1534,1
Da Mula,Bragadin,1577,1
Da Mula,Cocco,1581,2
Da Mula,Morosini,1412,1
Da Mula,Valier,1564,1
Da Mula,Grimani,1582,1
Da Mula,Capello,1586,2
Da Mula,Donato,1548,1
Da Mula,Mosto,1524,1
Da Mula,Querini,1562,1
Da Mula,Deddo,1495,1
Da Mula,Boldu,1559,1
Da Mula,Minotto,1581,1
Da Mula,Querini,1507,1
Da Mula,Dandolo,1575,1
Da Mula,Bon,1676,1
Da Mula,Donato,1799,1
Da Mula,Badoer,1536,1
Da Mula,Falier,1627,1
Da Mula,Querini,1519,1
Da Mula,Nani,1645,1
Da Mula,Giustinian,1696,1
Da Mula,Gritti,1544,1
Da Mula,Giustinian,1405,1
Da Mula,Zorzi,1520,1
Da Mula,Bondumier,1536,1
Da Mula,Grimani,1621,1
Da Mula,Donato,1532,1
,Manzoni,1612,1
Dandolo,Badoer,1458,1
Dandolo,Dandolo,1453,1
Dandolo,Da Molin,1553,1
Dandolo,Muazzo,1613,1
Dandolo,Da Molin,1402,1
Dandolo,Dandolo,,1
Dandolo,Querini,,1
Dandolo,Dandolo,1579,1
Dandolo,Zorzi,1446,1
Dandolo,Contarini,1457,1
Dandolo,Dandolo,1527,1
Dandolo,Deddo,1714,1
Dandolo,Cicogna,1582,1
Dandolo,Foscarini,1709,1
Dandolo,Bragadin,1594,1
Dandolo,Priuli,1615,2
Dandolo,Giustinian,1420,1
Dandolo,Michiel,1408,1
Dandolo,Querini,,1
Dandolo,Contarini,1416,1
Dandolo,Corner,1555,1
Dandolo,Paruta,1679,1
Dandolo,Querini,1679,1
Dandolo,Barbarigo,1521,1
Dandolo,Minotto,1531,2
Dandolo,Corner,,1
Dandolo,Bon,,1
Dandolo,Bon,,1
Dandolo,Corner,1432,1
Dandolo,Vitturi,1540,1
Dandolo,Deddo,1502,1
Dandolo,Barbarigo,1609,1
Dandolo,Michiel,1495,1
Dandolo,Morosini,1439,1
Dandolo,Querini,1512,1
Dandolo,Vitturi,1518,1
Dandolo,Grimani,1538,1
Dandolo,Badoer,1421,1
Dandolo,Foscarini,1556,1
Dandolo,Querini,1718,1
Dandolo,Zorzi,1472,1
Dandolo,Michiel,1435,1
Dandolo,Querini,1466,1
